file_path,file_name,reference_text,transcribed_text,audio_duration,processing_time,WER,CER,model
test\NURC_RE\NURC_RE_D2\NURC_RE_D2_215\127952_nurc_.wav,127952_nurc_.wav,me disseram que depois que a pessoa,me disseram que depois que a pessoa,2,6.02094030380249,0.0,0.0,best
test\sp\48402_sp_.wav,48402_sp_.wav,isso acontece muito,Acontece muito.,2,4.142236709594727,0.3333333333333333,0.2631578947368421,best
test\sp\46375_sp_.wav,46375_sp_.wav,defender,Defender.,1,4.179159641265869,0.0,0.0,best
test\CORAL\23992_CO_bfammn09.wav,23992_CO_bfammn09.wav,eu não tinha um café,Eu não tinha um café.,2,4.221094131469727,0.0,0.0,best
test\CORAL\18956_CO_bfammn34.wav,18956_CO_bfammn34.wav,aí eu falei aí aí aí,"Aí eu falo, ai, ai, ai.",3,4.27863621711731,0.6666666666666666,0.25,best
test\CORAL\15796_CO_bfammn30.wav,15796_CO_bfammn30.wav,cobrar passagem do senhor,cobre a passagem do senhor.,1,4.243712902069092,0.5,0.12,best
test\NURC_RE\NURC_RE_D2\NURC_RE_D2_215\126853_nurc_.wav,126853_nurc_.wav,imagina a gente tava numa moda,"Imagina, ele tava numa moda...",2,4.199510812759399,0.3333333333333333,0.16666666666666666,best
test\alip\62681_alip_.wav,62681_alip_.wav,viu,Viu?,2,4.172618389129639,0.0,0.0,best
test\CORAL\15592_CO_bfammn12.wav,15592_CO_bfammn12.wav,o latex eu uso o latex branco,Eu uso látex branco.,3,4.23812198638916,0.5714285714285714,0.3793103448275862,best
test\sp\47870_sp_.wav,47870_sp_.wav,em dezembro,"Ura bem, né?",1,4.156050682067871,1.5,0.8181818181818182,best
test\Ted_part1\Ab5xNf5VoEc-0104.wav,Ab5xNf5VoEc-0104.wav,isso já é uma mudança mundial porque essa pessoa vai mudar esse pequeno pe esse pequeno,"Isso já é uma mudança mundial, porque essa pessoa vai mudar esse pequeno",6,4.1933135986328125,0.1875,0.1839080459770115,best
test\sp\45696_sp_.wav,45696_sp_.wav,eh mas eu percebo que tem muitos,Mas eu percebo que tem muitos...,3,4.223948240280151,0.14285714285714285,0.09375,best
test\CORAL\9801_CO_bfammn28.wav,9801_CO_bfammn28.wav,são trinta e tantas pessoas sabe,"São 30 e tantas pessoas, sabe?",2,4.341231107711792,0.0,0.0,best
test\alip\3621_alip_.wav,3621_alip_.wav,de,Viu?,2,4.146311283111572,1.0,1.5,best
test\NURC_RE\NURC_RE_D2\NURC_RE_D2_215\126278_nurc_.wav,126278_nurc_.wav,que bom,Obrigado.,2,4.19344162940979,1.0,1.1428571428571428,best
test\alip\42479_alip_.wav,42479_alip_.wav,aí o assunto,E faz com que...,2,4.231014251708984,1.3333333333333333,1.0,best
test\NURC_RE\NURC_RE_EF\NURC_RE_EF_271\140647_nurc_.wav,140647_nurc_.wav,crianças que nascem com problemas de surdez,Crianças que nascem com problemas de surdez.,3,4.670115232467651,0.0,0.0,best
