file_path,file_name,reference_text,transcribed_text,audio_duration,processing_time,WER,CER,model
test\alip\64624_alip_.wav,64624_alip_.wav,de manhã a minha a família dá banho no meu pai e a tarde a gente vai na minha avó pra dar banho na minha avó,De manhã a família está banhando o meu pai e à tarde a gente vê a minha vó pra dar banho na minha vó.,5.12,2.3212649822235107,0.38461538461538464,0.19444444444444445,nova-2
test\Ted_part1\cVZSicAvgAg-0065.wav,cVZSicAvgAg-0065.wav,certeza absoluta que não ia ser é o ator no filme eu sei que o que,"Certeza absoluta que não ia ser ele o ator do filme, ia ser aquele que",3.8,2.2028398513793945,0.375,0.15151515151515152,nova-2
test\sp\45754_sp_.wav,45754_sp_.wav,mulher nem saía tanto né pra trabalhar era mais o homem,"Mulher nem saía tanto né, pra trabalhar era mais o homem.",3.779,1.887030839920044,0.0,0.0,nova-2
test\Ted_part1\Ab5xNf5VoEc-0061.wav,Ab5xNf5VoEc-0061.wav,foi aí que cheguei numa nova metodologia eh comecei mudando as quantidades de areia que deixavam,Foi aí que cheguei numa nova metodologia. Comecei mudando as quantidades de areia que deixavam.,8.96,2.541581153869629,0.0625,0.03125,nova-2
test\NURC_RE\NURC_RE_D2\NURC_RE_D2_287\62071_nurc_.wav,62071_nurc_.wav,ou quando sofrem por aquele rapaz,Quando sofrem por aquele rapaz.,2.069,2.1310911178588867,0.16666666666666666,0.09090909090909091,nova-2
test\CORAL\33070_CO_bfammn17.wav,33070_CO_bfammn17.wav,cada passeio muito divertido,Cada passeio é muito divertido.,2.756,1.9912934303283691,0.25,0.07142857142857142,nova-2
test\NURC_RE\NURC_RE_DID\NURC_RE_DID_051\242735_nurc_.wav,242735_nurc_.wav,levavam roupas levavam uma série de coisas,,2.649,1.7412934303283691,1.0,1.0,nova-2
test\sp\71571_sp_.wav,71571_sp_.wav,eh,,0.644,1.6622183322906494,1.0,1.0,nova-2
test\sp\71590_sp_.wav,71590_sp_.wav,ah não sei eh fala falavam,,2.22,2.2842462062835693,1.0,1.0,nova-2
test\NURC_RE\NURC_RE_EF\NURC_RE_EF_271\140744_nurc_.wav,140744_nurc_.wav,que se segue a uma fase de discurso egocêntrico,"Se segue a uma fase de discurso egocêntrico,",3.272,2.1090729236602783,0.1111111111111111,0.0851063829787234,nova-2
test\NURC_RE\NURC_RE_D2\NURC_RE_D2_215\126640_nurc_.wav,126640_nurc_.wav,por ser muito fraco,,1.193,2.0648908615112305,1.0,1.0,nova-2
test\alip\3326_alip_.wav,3326_alip_.wav,eram crianças especiais eh,Tenho crianças especiais e.,2.88,2.123309850692749,0.5,0.19230769230769232,nova-2
