file_path,file_name,dataset,reference_text,transcribed_text,audio_duration,processing_time,WER,CER,model
test\alip\42817_alip_.wav,42817_alip_.wav,alip,né do plano é onde você olha lá embaixo assim tem um um vale tem um pequeno pequeno não mas é um grande um pequeno vale,"do plano, onde você olha lá embaixo, assim, tem um vale, tem um pequeno, pequeno não, mas um grande, um pequeno vale.",8.36,9.60871934890747,15.384615384615385,8.403361344537815,assemblyaibest
test\alip\51124_alip_.wav,51124_alip_.wav,alip,e por,E por fim...,2.24,4.879415035247803,50.0,80.0,assemblyaibest
test\alip\3337_alip_.wav,3337_alip_.wav,alip,e aí ela nem acreditou que ela podia pegar o primeiro lugar ela falou que ela ficou bastante assim,"E aí ela nem acreditou que ela podia ter ganhado o primeiro lugar, ela falou que ela ficou bastante, assim...",6.08,4.223562002182007,10.526315789473683,8.16326530612245,assemblyaibest
test\alip\64636_alip_.wav,64636_alip_.wav,alip,tipo ele não sabia o que fazer com,Ele não sabia o que fazer.,1.36,4.10364556312561,25.0,26.47058823529412,assemblyaibest
test\alip\80528_alip_.wav,80528_alip_.wav,alip,mas nenhuma mãe quer que fala que o filho não tem cura mas seu filho não tem curo espero,"Não tem nenhuma maqueta que fala que o frio não tem cura, mas o frio não tem cura.",4.72,4.221140146255493,47.368421052631575,32.95454545454545,assemblyaibest
test\alip\3589_alip_.wav,3589_alip_.wav,alip,nele você põe uma lata de creme de leite,nele você põe uma lata de creme de leite,3.4,4.160273790359497,0.0,0.0,assemblyaibest
test\alip\51138_alip_.wav,51138_alip_.wav,alip,longo termo brigadão,Muito bom. Obrigada.,2.2,4.218471527099609,100.0,55.00000000000001,assemblyaibest
test\alip\42815_alip_.wav,42815_alip_.wav,alip,tem um pequeno gramadinho aí você chega nesse gramad,tem um pequeno dramadinho ai você chega nesse dramadinho,3.56,4.117452383041382,33.33333333333333,13.461538461538462,assemblyaibest
test\alip\40372_alip_.wav,40372_alip_.wav,alip,e como que foi depois assim,E como que foi depois assim?,2.96,2.033604621887207,0.0,0.0,deepgramnova2
test\alip\40326_alip_.wav,40326_alip_.wav,alip,adulto né apesar de ter outros passagem o anterior né,Adulto né? Apesar de ter outras passagens anterior né?,2.68,2.06608247756958,30.0,7.547169811320755,deepgramnova2
test\alip\3371_alip_.wav,3371_alip_.wav,alip,que é uma escola que é perto da minha,,2.56,1.8938930034637451,100.0,100.0,deepgramnova2
test\alip\3485_alip_.wav,3485_alip_.wav,alip,tem também um tobogã que você desce com boia,Tem também o que você desce com boia.,4.08,1.9805052280426025,22.22222222222222,18.181818181818183,deepgramnova2
test\alip\64562_alip_.wav,64562_alip_.wav,alip,ah bê éle ó não,A acidez de aula.,1.4,1.5657825469970703,100.0,86.66666666666667,deepgramnova2
