file_path,file_name,reference_text,transcribed_text,audio_duration,processing_time,WER,CER,model
test\NURC_RE\NURC_RE_EF\NURC_RE_EF_332\142957_nurc_.wav,142957_nurc_.wav,mas agora por exemplo da população,"Agora, por exemplo, da população.",1.912,3.1576247215270996,0.16666666666666666,0.11764705882352941,whisper-small
test\sp\46180_sp_.wav,46180_sp_.wav,bate no teu vidro quebra teu vidro e pega tuas coisas ou de repente você está andando na rua,"Bate no teu vidro, quebra o teu vidro e pegue as coisas. Daí você tá andando na rua.",4.324,3.436187982559204,0.3684210526315789,0.21739130434782608,whisper-small
test\sp\71874_sp_.wav,71874_sp_.wav,choveu tanto tanto na semana passada que ficou uma piscina na minha casa,"Chegueu o tempo, o tempo na semana passada que ficou uma tucina na minha casa.",3.43,3.0638086795806885,0.46153846153846156,0.2222222222222222,whisper-small
test\NURC_RE\NURC_RE_D2\NURC_RE_D2_215\127758_nurc_.wav,127758_nurc_.wav,disfunção de ovário,Aeternal ou protocolo de uma,1.388,16.053319692611694,1.3333333333333333,1.263157894736842,whisper-small
test\CORAL\5744_CO_bfammn25.wav,5744_CO_bfammn25.wav,aí eu comecei a trabalhar aí as coisas começaram a complicar porque trabalhava de dia estudava à noite chegava de madrugada em casa levantava cedo pra trabalhar então eu num tinha tempo pra nada,"Aí eu comecei a trabalhar, aí as coisas começaram a complicar, porque trabalhava dia, estudava à noite, chegava de madrugada em casa, levantava cedo pra trabalhar, então não tinha tempo pra nada.",20.473,4.676656723022461,0.08823529411764706,0.041237113402061855,whisper-small
test\NURC_RE\NURC_RE_D2\NURC_RE_D2_287\62606_nurc_.wav,62606_nurc_.wav,é culpa da população,,1.146,2.679955244064331,1.0,1.0,whisper-small
test\sp\46250_sp_.wav,46250_sp_.wav,não eu posso te dizer com certeza,Não eu posso dizer como certeza...,2.0,2.9200809001922607,0.2857142857142857,0.12121212121212122,whisper-small
test\sp\43580_sp_.wav,43580_sp_.wav,eu não sei fazer porque aquela língua ali eu não sei porque não sei nem um porque e nem um porque é uma língua que eu um érre,"Eu não sei fazer, não tenho a língua ali, eu não sei porque não usai nenhum porque e nenhum porque é uma língua de um R.",9.028,4.320869207382202,0.39285714285714285,0.2,whisper-small
test\alip\62677_alip_.wav,62677_alip_.wav,eu tava numa cantarola lá,que está vindo mais tanta hora lá.,1.88,5.892456531524658,1.2,0.68,whisper-small
test\alip\40361_alip_.wav,40361_alip_.wav,por ele tá meio sentido o problema de família a gente,"Por ele estar meio sentido por vindo família, gente.",3.4,2.9434657096862793,0.45454545454545453,0.3018867924528302,whisper-small
test\CORAL\28597_CO_bfammn23.wav,28597_CO_bfammn23.wav,tem que falar de pizza,"Um, dois, três, dois, três, sete, dois, três, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete, sete",2.098,13.343950510025024,15.4,17.0,whisper-small
test\sp\70980_sp_.wav,70980_sp_.wav,eu falo muito com meus primos eu saio com eles assim,"Eu falo muito com meus primos, eu saio com eles.",2.743,3.062230110168457,0.09090909090909091,0.11538461538461539,whisper-small
test\NURC_RE\NURC_RE_EF\NURC_RE_EF_332\142994_nurc_.wav,142994_nurc_.wav,na demonstração é da análise,na demonstração da análise.,4.186,2.6395628452301025,0.2,0.07142857142857142,whisper-small
test\NURC_RE\NURC_RE_D2\NURC_RE_D2_215\126310_nurc_.wav,126310_nurc_.wav,ou tá diminuido,ou diminuir.,1.395,2.651824474334717,0.6666666666666666,0.3333333333333333,whisper-small
test\Ted_part1\a24A8MyzR2Y-0078.wav,a24A8MyzR2Y-0078.wav,a gente tem preconceito etário dentro das empresas a partir dos quarenta e cinco anos de idade eu vi casas inteligentes,A gente tem preconceito etário dentro das empresas a partir dos 45 anos de idade. Eu vi casas inteligentes.,10.6,3.8564043045043945,0.0,0.0,whisper-small
test\NURC_RE\NURC_RE_DID\NURC_RE_DID_051\243139_nurc_.wav,243139_nurc_.wav,ninguém mais tem medo de de avião,Ninguém mais tem medo de isso que havia.,1.714,2.7370455265045166,0.42857142857142855,0.30303030303030304,whisper-small
test\Ted_part1\AB8_pog3Lt8-0069.wav,AB8_pog3Lt8-0069.wav,e o que que a gente pode fazer para que não seja assim existe muitas respostas,E o que a gente pode fazer para que não seja assim? Existem muitas respostas...,6.8,3.665178060531616,0.125,0.0641025641025641,whisper-small
test\alip\42562_alip_.wav,42562_alip_.wav,né principalmente depois que colocaram ele na banda ele não tava me agradando,رة aqui e na burra vaigrid onde okay,3.96,26.67559838294983,0.9230769230769231,0.7922077922077922,whisper-small
test\NURC_RE\NURC_RE_D2\NURC_RE_D2_215\127248_nurc_.wav,127248_nurc_.wav,e algumas que levam de casa,e alguns que levam de casa.,2.441,2.7376608848571777,0.16666666666666666,0.07407407407407407,whisper-small
test\sp\71160_sp_.wav,71160_sp_.wav,muitos filmes que se passam em são paulo,muitos filmes que se passam em São Paulo.,1.81,2.8112823963165283,0.0,0.0,whisper-small
test\Ted_part1\A4wi3jmf9uY-0106.wav,A4wi3jmf9uY-0106.wav,o bem e pra gente testar o algoritmo a gente usa desse outro brinquedinho aqui que o cara bota na,"O bem. E para a gente testar o algoritmo, a gente usa esse outro brinquedinho aqui, que o cara bota na capa...",6.12,4.276567459106445,0.2,0.09278350515463918,whisper-small
test\NURC_RE\NURC_RE_EF\NURC_RE_EF_332\143060_nurc_.wav,143060_nurc_.wav,tá certo então o programa da,"Então, o programa está bem?",2.867,14.852010488510132,0.6666666666666666,0.6071428571428571,whisper-small
test\sp\45896_sp_.wav,45896_sp_.wav,direta ou indireta né porque mesmo na parte de promoção tinha que apresentar,"direta ou indireta, na parte de promoção tinha que apresentar",4.225,3.1648104190826416,0.23076923076923078,0.21052631578947367,whisper-small
test\Ted_part1\aXZ9Cb9ffE8-0005.wav,aXZ9Cb9ffE8-0005.wav,eu escolhi que é a do aristóteles que fala sobre onde meus talentos e paixões se encontram com as,"escolhi, que é do Aristóteles, que fala sobre onde meus talentos e paixões se encontram com as...",7.92,3.5877459049224854,0.10526315789473684,0.05154639175257732,whisper-small
test\Ted_part1\a8gyl6MPHsI-0073.wav,a8gyl6MPHsI-0073.wav,né é realmente fazer coincidir interesses privados interesses genuinamente públicos eh e é por isso que eu digo,"É realmente fazer coincidir interesses privados, interesses genuinamente públicos. E é por isso que eu digo que...",9.0,3.918339252471924,0.16666666666666666,0.09009009009009009,whisper-small
test\NURC_RE\NURC_RE_DID\NURC_RE_DID_051\242971_nurc_.wav,242971_nurc_.wav,eu não posso dizer do rio nem de são paulo porque eu não andei,"Eu não posso dizer do Rio, nem São Paulo, que eu não andei.",3.662,3.111355781555176,0.14285714285714285,0.0967741935483871,whisper-small
test\NURC_RE\NURC_RE_DID\NURC_RE_DID_051\242529_nurc_.wav,242529_nurc_.wav,então a gente tem noção exata de tudo que tem naquele cenário,Então a gente tem uma hoça exata de tudo que tem naquele centro.,4.337,3.145906448364258,0.25,0.14754098360655737,whisper-small
test\NURC_RE\NURC_RE_EF\NURC_RE_EF_271\140666_nurc_.wav,140666_nurc_.wav,ao aspecto anatômico fisiológico,ao aspecto anatômico-fisiológico.,2.766,2.778899669647217,0.5,0.03125,whisper-small
test\CORAL\2570_CO_bfammn10.wav,2570_CO_bfammn10.wav,daí eu falei ah eu não vou deixar isso aqui,e o plano vou deixar isso aqui.,1.061,2.7397334575653076,0.6,0.37209302325581395,whisper-small
test\NURC_RE\NURC_RE_EF\NURC_RE_EF_271\140852_nurc_.wav,140852_nurc_.wav,o que vem a ser significado,O que venha a ser significado?,1.809,2.8960468769073486,0.16666666666666666,0.1111111111111111,whisper-small
test\alip\3558_alip_.wav,3558_alip_.wav,achar e algumas corridas,e a Com advantage nesta eles.,1.64,25.080743074417114,1.5,0.9583333333333334,whisper-small
test\sp\44942_sp_.wav,44942_sp_.wav,e minha mãe que tem medo de maizena,"e minha line, que tem que ver succeed o quê?",3.334,19.077066898345947,0.75,0.6,whisper-small
test\NURC_RE\NURC_RE_EF\NURC_RE_EF_271\140939_nurc_.wav,140939_nurc_.wav,do mecanismo intelectual do homem dos processos mentais,"do mecanismo intelectual do homem, dos processos mentais.",4.129,4.039418697357178,0.0,0.0,whisper-small
test\sp\44935_sp_.wav,44935_sp_.wav,e no jardins eu morei onze,e nos jardins amorei 11.,2.402,3.4734599590301514,0.5,0.15384615384615385,whisper-small
test\NURC_RE\NURC_RE_D2\NURC_RE_D2_287\62213_nurc_.wav,62213_nurc_.wav,uma necessidade de estar junto do outro,uma necessidade de estar junto do outro.,2.722,3.7510018348693848,0.0,0.0,whisper-small
test\CORAL\2411_CO_bfammn10.wav,2411_CO_bfammn10.wav,bom,Bom.,0.769,2.784823179244995,0.0,0.0,whisper-small
test\NURC_RE\NURC_RE_D2\NURC_RE_D2_215\128510_nurc_.wav,128510_nurc_.wav,vai no forno,como é de Baltimore.</p><p XL MÊNIUS 6 MÊNICOS 9 MÊNICOS 9 MÊNICOS 9 MÊNICOS 10 MÊNICOS 15 MÊNICOS 16 MÊNICOS 16 MÊNICOS 18 MÊNICOS 18 MÊNICOS 19 MÊNICOS 20 MÊNICOS 20 MÊNICOS 22 MÊNICOS 25 MÊNICOS 19 MÊNICOS 25 MÊNICOS 29 MÊNICOSGRASS,1.128,25.95673894882202,16.666666666666668,26.833333333333332,whisper-small
test\NURC_RE\NURC_RE_D2\NURC_RE_D2_215\128086_nurc_.wav,128086_nurc_.wav,eu acho que a tendência tá cada vez,"Eu acho que é tendência, tá cada vez...",2.076,3.15375018119812,0.125,0.02857142857142857,whisper-small
test\NURC_RE\NURC_RE_DID\NURC_RE_DID_051\242703_nurc_.wav,242703_nurc_.wav,onde eles tem certos a religião deles é interessante,onde eles têm certos a religião deles é interessante.,5.35,3.3269152641296387,0.1111111111111111,0.019230769230769232,whisper-small
test\NURC_RE\NURC_RE_D2\NURC_RE_D2_215\126970_nurc_.wav,126970_nurc_.wav,porque antigamente aquelas bolsas,que vai passa pelas boas res Cru 얼었,1.393,18.570603132247925,1.75,0.7272727272727273,whisper-small
test\NURC_RE\NURC_RE_D2\NURC_RE_D2_287\61512_nurc_.wav,61512_nurc_.wav,e a pessoa tem que ser racional,episode frankly,1.52,17.91840147972107,1.0,0.7096774193548387,whisper-small
test\sp\45386_sp_.wav,45386_sp_.wav,é é uma região próxima então vocês vocês se mudaram,"É uma região próxima, então vocês mudaram?",3.547,3.3338191509246826,0.3,0.21568627450980393,whisper-small
test\sp\45737_sp_.wav,45737_sp_.wav,porque quando como eu não cresci vendo isso então pra mim foi um pouco mais difícil me acostumar,"Porque quando, como eu não cresci vendo isso, então pra mim foi um pouco mais difícil me acostumar.",5.181,4.0288307666778564,0.0,0.0,whisper-small
